[2018.12.27 13:55:19] [0000m.02s.800ms] [0] WELCOME
[2018.12.27 13:55:19] [0000m.02s.802ms] [1] iCDB Diagnostic ver.2.204, w6NMT3m1DsvvLxNhuorv0Q, build:11695155 created 2018-10-03 12:34:59, sources stamp:w6NMT3m1DsvvLxNhuorv0Q
[2018.12.27 13:55:19] [0000m.02s.802ms] [1] Copyright 2018 Mentor Graphics Corporation.  All Rights Reserved.
[2018.12.27 13:55:19] [0000m.02s.802ms] [1] Base flow version [VX.2.4]
[2018.12.27 13:55:19] [0000m.02s.802ms] [1] Install Id [1845722], Flow Id [PADS VX.2.4], Full Flow Name [PADS VX.2.4], Exact Access Date [2018/08/01]
[2018.12.27 13:55:19] [0000m.02s.802ms] [1] UPDATE Install Info, Install Id [1894346], UPDATE Name [PADS VX.2.4 - Update 2]
[2018.12.27 13:55:19] [0000m.02s.803ms] [1] Machine [MG-STUDIO]  IP [127.0.0.1,192.168.0.101]  User [Carlos Pichardo]  PID [16664]
[2018.12.27 13:55:19] [0000m.02s.804ms] [1] Operating system [Microsoft Business Edition, 64-bit (build 9200)]
[2018.12.27 13:55:19] [0000m.02s.804ms] [1] Current working dir [C:\Users\Carlos Pichardo\OneDrive\Proyectos Manicato Group\1 - Manicato Group\110 - Smart-HVAC\MG-Smart-HVAC\MG-Smart-HVAC\Smart-HVAC_netlist]
[2018.12.27 13:55:19] [0000m.02s.804ms] [1] PATH [C:\MentorGraphics\PADSVX.2.4\SDD_HOME\common\win32\bin;C:\MentorGraphics\PADSVX.2.4\SDD_HOME\common\win32\lib;C:\MentorGraphics\PADSVX.2.4\MGC_HOME.ixn\bin;C:\MentorGraphics\PADSVX.2.4\MGC_HOME.ixn\lib;C:\Program Files\Microsoft MPI\Bin\;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\VisualSVN Server\bin;C:\Program Files (x86)\LINQPad5;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\150\DTS\Binn\;C:\Users\Carlos Pichardo\AppData\Local\Microsoft\WindowsApps;;C:\MentorGraphics\PADSVX.2.4\SDD_HOME\CAMCAD]
[2018.12.27 13:55:19] [0000m.02s.804ms] [1] SDD_HOME [C:\MentorGraphics\PADSVX.2.4\SDD_HOME] on file system [NTFS]
[2018.12.27 13:55:19] [0000m.02s.804ms] [1] SDD_PLATFORM [win32]
[2018.12.27 13:55:20] [0000m.03s.058ms] [2] Diagnostic: CesConfigCheck: CesVia
[2018.12.27 13:55:20] [0000m.03s.059ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2018.12.27 13:55:20] [0000m.03s.059ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2018.12.27 13:55:20] [0000m.03s.059ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2018.12.27 13:55:20] [0000m.03s.059ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2018.12.27 13:55:20] [0000m.03s.059ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2018.12.27 13:55:20] [0000m.03s.059ms] [1] Diagnostic: Snapshot [1:DxD] integrity check FAILED
[2018.12.27 13:55:20] [0000m.03s.077ms] [2] Diagnostic: Checking snapshot [2:__ise_DxD] integrity
[2018.12.27 13:55:20] [0000m.03s.077ms] [2] Diagnostic: SnapshotCheck: CDBImplBlock
[2018.12.27 13:55:20] [0000m.03s.077ms] [2] Diagnostic: SnapshotCheck: CDBImplComp
[2018.12.27 13:55:20] [0000m.03s.078ms] [2] Diagnostic: SnapshotCheck: CDBImplGroup
[2018.12.27 13:55:20] [0000m.03s.078ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (regular)
[2018.12.27 13:55:20] [0000m.03s.078ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (regular)
[2018.12.27 13:55:20] [0000m.03s.078ms] [2] Diagnostic: SnapshotCheck: CDBImplPin (cached)
[2018.12.27 13:55:20] [0000m.03s.078ms] [2] Diagnostic: SnapshotCheck: AttributesUtility (cached)
[2018.12.27 13:55:20] [0000m.03s.078ms] [2] Diagnostic: Snapshot [2:__ise_DxD] integrity check PASSED in [971us]
[2018.12.27 13:55:20] [0000m.03s.082ms] [0] Diagnostic: FINISH
[2018.12.27 13:55:20] [0000m.03s.082ms] [0] .
